p,n,x0,x1,y0,y1,xm,ym
236,7117,208601.67970861637,238785.04725776293,572401.9622982718,619806.3356918059,218505.91562210594,589401.1538079148
237,9249,236920.8972,267870.79216372286,505490.12445,537664.4191231383,255550.51720384587,522104.3899830632
238,5054,183113.75479104777,213716.67800913102,592790.5286473022,626404.4687864305,205955.95202371012,604506.9347123367
239,6243,224715.49641558947,251606.5704816691,554661.3412133155,604604.1249935228,242345.8218766693,578900.6684595756
240,7371,227392.54212232743,271203.20940146846,530534.555173306,562334.3709439607,246366.1663975361,544142.8498108358
241,3944,176731.03877174616,187142.37664989446,558730.2328298173,570450.752488658,181339.36059191916,563092.6057405958
242,7044,177157.9475842927,185218.89924029505,540097.8315440759,550091.2611504234,180622.49333388754,544662.9168536286
243,8571,209686.86996904097,237535.45851654868,498631.97912667936,528799.082378139,219346.19078261277,514671.5655078396
244,5256,205801.78720672723,215617.05830000015,512744.6623037622,525043.7468125522,209783.56114143837,519329.48046171066
245,3089,203931.74759484647,212750.23621897312,521627.54215024435,528665.3753101688,208312.91539884335,525252.0736652974
250,8514,245160.50274345186,286284.2827952183,564196.9423054182,606351.7828015607,264387.7049295939,585569.842500526
251,20338,266266.9344865171,307366.5653001494,505514.9989624916,542242.9704949927,283434.3927395456,527047.305366881
252,10158,341872.04174999986,382970.44923554733,547936.5192956715,592258.5360371148,365842.2883687208,574961.1612571015
253,3224,375547.05288272677,390895.8276217762,542076.9969422694,557888.9717753706,386861.9867931815,547497.284140103
254,2429,366015.5621342785,383095.0517000002,498574.67364463373,527830.3078941712,376714.06389999995,508689.70638470084
255,3279,331662.2538831729,341068.6093298786,618437.1824471848,626468.977244422,338856.17877654993,622679.4909050278
256,6467,364053.6530269254,409962.97624999983,500275.8594000004,543871.3529973547,391627.75865534466,529582.9973332048
257,8496,248931.52439119335,338871.3711250039,552745.1080999998,591073.9036703075,279691.4495016133,566906.7085903899
258,6661,268562.18983698764,314737.2517246634,526389.2331499998,563113.1866811214,292686.62810144643,544080.3831557776
259,4666,305335.57714487845,368500.12949718774,498165.3427794953,530168.3108999999,329548.995543679,510738.8575009953
260,6415,310300.9867743748,355229.134777227,522504.0420168136,575172.9919691109,328603.8951933944,554199.7156309811
261,5501,338516.2306973628,373378.72598557227,507163.20450026676,552666.9175605865,352411.52192539634,531719.967801458
262,4731,213208.73617703328,251474.41305410565,611103.0452843048,634466.4428550215,226994.37601914594,623340.5204522318
263,3178,238896.12060000002,277642.942356835,599853.8258375656,628561.0592480281,259957.99639482025,611248.27106582
264,3824,274584.5386836119,302246.7470653895,602577.7153348362,636059.89635,287007.6831665288,612461.9909734123
265,4921,290057.4760556966,331853.98262158816,579958.3649149006,632593.527205223,305751.45824611385,607916.1729299335
266,3867,318321.17405682383,338438.5187782898,623939.9501353556,665618.5700500002,328413.76357458794,642437.9499605147
