a_LINK_ID,b_LINK_ID,a_T_NODE,theta,nx,ny,target
1300011001,1300009203,1300003202,97.48211897557297,385388.6402065829,281465.03357472684,부산 초량동
1300009103,1300011001,1300003203,90.6039669559931,385374.32436775044,281469.1196267689,부산 초량동
1300009901,1300009103,1300003204,90.66224164745053,385378.0515675782,281481.6751852582,부산 초량동
1840192701,1850051101,1840012003,99.03032156171335,234834.25535468906,413913.8477322915,대전 변동
1850052401,1850051701,1850018202,108.15257994579075,234737.20004450507,414228.38757399557,대전 변동
1850053901,1850054101,1850018504,98.76145987741535,234845.85281674992,414447.16722996865,대전 변동
1840192201,1840192401,1840012001,98.88818979587064,234851.77318829394,413919.7044086822,대전 변동
1850052501,1850052201,1850018204,105.57824349124282,234731.2698253914,414247.43832756777,대전 변동
1840193101,1850053401,1840014503,97.04190706841196,235091.81132512033,414396.6690849117,대전 변동
1840192601,1840192801,1840014501,98.34205038087265,235109.27218359496,414402.12967906904,대전 변동
1850054000,1850053400,1850018703,95.08248040688805,234880.46194925962,414502.35394801537,대전 변동
1850053500,1850054600,1850018702,127.55423518485682,234890.8587928403,414510.57208502904,대전 변동
1850054804,1850054200,1850018705,121.05142339766635,234866.99186638516,414513.1232820224,대전 변동
1850054201,1850054401,1850018604,143.51979696842685,234736.440301589,414487.9752366892,대전 변동
1850053900,1850054300,1850018602,143.51855850365678,234774.4653496523,414483.0779321214,대전 변동
1850054001,1850053501,1850018702,110.12475320432189,234890.8587928403,414510.57208502904,대전 변동
1850051602,1850051400,1850018004,119.69760986963061,234611.77451942037,414005.9746322528,대전 변동
1850053801,1850052301,1850018502,100.01722067961646,234853.04139663736,414430.0393359626,대전 변동
1840192803,1840193000,1840014501,103.16389955298217,235109.27218359496,414402.12967906904,대전 변동
1850054801,1850054302,1850018704,96.13784491561165,234866.99563394228,414500.9016177053,대전 변동
1850054300,1850054100,1850018704,122.38118262260102,234866.99563394228,414500.9016177053,대전 변동
1850051501,1850049501,1850018002,99.17404552598856,234622.40281252455,413989.38807262515,대전 변동
1850053400,1840192700,1840014503,95.14238240538468,235091.81132512033,414396.6690849117,대전 변동
1850052200,1850052500,1850018204,91.91179022104652,234731.2698253914,414247.43832756777,대전 변동
1850051100,1840192300,1840012003,99.40194220048323,234834.25535468906,413913.8477322915,대전 변동
1850051001,1850051601,1850018004,106.59434139759355,234611.77451942037,414005.9746322528,대전 변동
1850051507,1850049400,1850018003,94.4376028460705,234611.05852896287,413993.40960855724,대전 변동
1840192404,1840192600,1840012001,98.53682171165116,234851.77318829394,413919.7044086822,대전 변동
1850054100,1850053900,1850018504,95.50260992792577,234845.85281674992,414447.16722996865,대전 변동
1850054301,1850053902,1850018602,143.51884816608364,234774.4653496523,414483.0779321214,대전 변동
2840073101,2840073301,2840053304,90.35102572724648,243004.72421332687,450870.89182524214,청주 내덕동
2840088900,2840000100,2840053201,90.32803045814161,243011.76803541445,451488.7386725673,청주 내덕동
2840014203,2840092100,2840056904,90.45813357651217,243202.58117309088,451626.7439572394,청주 내덕동
2840072400,2840073000,2840053302,91.34376014011077,243021.5657859671,450867.57382595784,청주 내덕동
2840085001,2840086201,2840051101,110.18365002955592,242872.67607839638,451456.4276887501,청주 내덕동
2840080103,2840080600,2840049501,100.91759930170693,242729.36445197352,451280.7762649968,청주 내덕동
2840082900,2840083400,2840049001,91.68785756646336,242688.18678219678,451340.9164130777,청주 내덕동
2840083300,2840083600,2840050701,94.37871816807366,242815.5776436125,451344.930013858,청주 내덕동
2840080701,2840080001,2840049503,95.91335912990175,242726.1945557701,451263.3008133987,청주 내덕동
2840083601,2840085102,2840050101,91.92070026335169,242776.83212212048,451406.01373802224,청주 내덕동
2840076402,2840079600,2840062902,94.50731190697397,243631.39302817572,451220.0889742,청주 내덕동
2840086300,2840083300,2840052203,109.64541002510948,242910.9293717574,451415.54383107316,청주 내덕동
2840085702,2840082801,2840050103,91.18315085272268,242774.2414017857,451388.92942778574,청주 내덕동
2840080101,2840080701,2840049504,93.7101166256494,242719.11660834606,451275.8347384327,청주 내덕동
2840014400,2840088900,2840055404,91.3332365221368,243111.4952873035,451561.0017915206,청주 내덕동
2840088500,2840085100,2840051103,110.18354823123803,242850.9387191679,451456.67188093223,청주 내덕동
