LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_NAME,p3,lanes,len,fx,fy,lx,ly,R_link,mx,my,f1,x,y
1830466800,1830171202,1830171301,1,104,대전로542번길,183,1,192.68356688392834,99.65667338075582,41.58661776804365,-19.32700000051409,47.13220000080764,7.290545379140882,240171.1233633097,413230.22379111673,0.00043108383313241843,240171.1233633097,413230.22379111673
1860497500,1865896801,1865896401,2,104,구즉세종로,186,2,351.8173525197477,-30.42638284363784,2.5952796682249755,-224.62165338380146,2.7748077905271202,208.7672428205314,234457.8243647297,427374.0833640618,0.0047824668653317646,234457.8243647297,427374.0833640618
1870018304,1870245700,1870240100,1,104,동춘당로15번길,187,1,81.94486522099366,-20.524198857834563,-60.07071613706648,-0.9236640286399052,-2.8469924369710498,407.3840638233191,240006.2178174145,418005.3652118499,8.537736462515939e-07,240006.2178174145,418005.3652118499
1850203205,1850231000,1850160500,1,104,원도안로,185,1,149.6335923805487,-1.1816527079208754,3.6861225431784987,-0.5362639700761065,5.11451085639419,114.77645264176033,231082.3350943688,412837.91774415725,0.0,231082.3350943688,412837.91774415725
1830133908,1830544100,1830534900,1,104,냉천로,183,1,369.8841650521291,0.8297295622178353,-2.3466261162539013,-0.4097874294675421,-1.7143388199619949,46.51626945819469,244098.9788352188,423338.14654364844,0.0,244098.9788352188,423338.14654364844
1860181206,1866165800,1866128400,1,104,세동로,186,1,185.617657218476,1.2451671866001561,-1.5101598656037822,16.95797842956381,-45.78824261773843,44.24804317445536,224799.28890562113,409854.3890586237,8.537736462515939e-07,224799.28890562113,409854.3890586237
1870495109,1870235000,1870308600,1,104,대청호수로,187,1,407.7149520480354,11.146607182337902,5.099762704863679,2.9521202089381404,47.97564755380154,17.97864231901257,241916.2981565131,425849.54904242477,0.0,241916.2981565131,425849.54904242477
1870151808,1870204700,1870190200,1,104,신탄진로756번안길,187,1,297.94997245576855,-83.25494373231777,-33.390989175706636,-11.501071526436135,8.842315697460435,15.869354665061435,238793.8570663084,427391.8502078482,0.0,238793.8570663084,427391.8502078482
1860361000,1865850203,1865786601,1,104,학하중앙로59번길,186,1,120.64931780752828,-74.95921156459372,-69.04173180850921,-17.116845982702216,-7.627341974468436,37.893888447466345,227120.62458279094,416500.30799491715,98.74664158041479,227120.62458279094,416500.30799491715
1850028702,1850285600,1850011201,2,104,관저로,185,2,65.3138649840588,-45.21732184919529,-1.8608727140817791,-20.057171552500222,-0.20974156924057752,620.2769287837475,230436.11307514817,411283.21486557234,77.96063033397539,230436.11307514817,411283.21486557234
1850111100,1850034902,1850034503,2,104,둔산로,185,2,125.15011998857406,24.994195627135923,-8.095538522175048,90.31666456605308,-40.245141398801934,150.36590190862665,233729.4200344694,417182.8835985616,93.15187436443898,233729.4200344694,417182.8835985616
1860180802,1866253900,1866316700,1,104,성북로154번길,186,1,63.121199762626304,-6.736661341972649,1.370759135344997,-56.245802607387304,0.2787766955443658,74.14540804454592,226138.2164293672,412680.7991087806,1.2074182697257333e-06,226138.2164293672,412680.7991087806
1850041300,1850002103,1850305500,1,104,정림서로,185,1,70.52558352214925,-1.2198112933838274,-40.60927262791665,1.8111673619423527,-9.35430523159448,50.35196137403315,232516.65045564674,412151.49728369864,102.0512261658483,232516.65045564674,412151.49728369864
1870001000,1870000703,1870000404,3,104,계족로,187,3,338.1779498158288,5.538645761407679,-23.799097110750154,7.170421464310493,-31.557850653422065,1431.3177199425943,238688.36213785113,418409.06872322835,92.76297787931772,238688.36213785113,418409.06872322835
1860180800,1865781501,1866321400,1,104,성북로154번길,186,1,336.6310617830086,-6.453662696847459,15.124973091995344,-0.3727204434981104,94.75562301615719,30.27034366579535,226473.27627112705,411893.0269249621,3.3592367219116834,226473.27627112705,411893.0269249621
1860155300,1860055403,1860055203,2,104,배울1로,186,2,489.44506138121807,26.495646276831394,-21.482548551808577,0.10257463008747436,-0.1662005176767707,83.5837572783668,234331.6884141765,424623.67072427564,92.3232095613511,234331.6884141765,424623.67072427564
1860209100,1865796301,1860044301,3,104,노은로,186,3,391.14929562985736,-23.944835495349253,6.292794481210876,-5.589399999938905,0.9387999996542931,41.68837780440215,229906.60006774782,421448.1017527598,7.937601064711112,229906.60006774782,421448.1017527598
1870042200,1870016704,1870016301,2,104,동춘당로,187,2,105.15304530400832,-47.362028095609276,-11.019246746902354,-54.705923527420964,-14.228678525309078,448.1874765671514,238688.13675228402,418916.7945841105,0.21352767272107387,238688.13675228402,418916.7945841105
1870018700,1870008901,1870009201,1,104,옛신탄진로,187,1,57.61404905339589,4.626118830987252,15.966884301509708,2.2964236462430563,7.488759847765323,180.3428519223923,237425.77640240733,417927.7303877729,0.00413890690208864,237425.77640240733,417927.7303877729
1850004002,1850001509,1850001402,4,103,계백로,185,4,388.93902954734637,-62.6592960068665,-19.388064850878436,-12.065052079211455,-2.550669972668402,305.4713222635874,231184.0454045661,411819.0193507259,104.31599700353607,231184.0454045661,411819.0193507259
1850210203,1850311100,1850067102,4,104,동서대로,185,4,442.4687182094729,90.18398470492684,16.510972353164107,23.851385989953997,11.655462724040262,59.29925965405513,232717.96965064254,415160.6946951851,66.52423117014942,232717.96965064254,415160.6946951851
1850006600,1850002804,1850392600,4,103,계백로,185,4,64.17722892046413,-18.817359265347477,-9.011072194203734,-37.066837052901974,-21.481610480404925,142.89698531582974,234510.6551111063,413071.5993808574,80.10562095627523,234510.6551111063,413071.5993808574
1870047100,1870018207,1870249300,1,104,계족로664번길,187,1,81.49745543151137,21.394571948621888,1.0419670402770862,59.97555159960757,3.4988946766825393,1212.9547490033149,238928.1395898257,419179.4134638187,100.10078529604023,238928.1395898257,419179.4134638187
1870007311,1870215100,1870194200,1,104,대청로,187,1,327.6711338918816,4.591153886518441,0.43103229225380346,0.41312846014625393,0.06673582561779767,48.258591540422465,240203.21583728679,427908.3049499998,0.0,240203.21583728679,427908.3049499998
1830025208,1830387000,1830491700,2,104,동대전로,183,2,30.837675022648337,-12.367704687581863,-25.339622611238156,-1.1574087450862862,-2.37379463162506,16360.444231483834,239962.04494797107,415083.05221398943,8.537736462515939e-07,239962.04494797107,415083.05221398943
1870495108,1870234700,1870308200,1,104,대청호수로,187,1,475.55971892956785,-2.0114817984285764,4.028141923598014,-17.33499440390733,29.61794080788968,36.758289403705334,241098.1421500002,424431.2368994419,0.0,241098.1421500002,424431.2368994419
