정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
DJB8007026,한라비발디아파트,36.3431,127.333496,2025-10-31,82570,25,대전광역시,대전BIS
DJB8007028,유성중학교,36.346176,127.33553,2025-10-31,41500,25,대전광역시,대전BIS
DJB8007030,태광산업중앙연구소,36.40358,127.40483,2025-10-31,44210,25,대전광역시,대전BIS
DJB8007031,오월드,36.290077,127.39558,2025-10-31,23380,25,대전광역시,대전BIS
DJB8007032,보성네거리,36.304214,127.39427,2025-10-31,23480,25,대전광역시,대전BIS
DJB8007033,보성네거리,36.30357,127.39426,2025-10-31,23470,25,대전광역시,대전BIS
DJB8007034,백골삼거리,36.300137,127.39298,2025-10-31,23460,25,대전광역시,대전BIS
DJB8007035,백골삼거리,36.300045,127.393295,2025-10-31,23450,25,대전광역시,대전BIS
DJB8007036,대전보훈공원입구,36.298214,127.39468,2025-10-31,23440,25,대전광역시,대전BIS
DJB8007037,대전보훈공원입구,36.2983,127.395065,2025-10-31,23430,25,대전광역시,대전BIS
DJB8007038,백골저수지,36.295815,127.399704,2025-10-31,23420,25,대전광역시,대전BIS
DJB8007039,백골저수지,36.2957,127.39987,2025-10-31,23410,25,대전광역시,대전BIS
DJB8007040,윗사정삼거리,36.29278,127.397995,2025-10-31,23400,25,대전광역시,대전BIS
DJB8007041,윗사정삼거리,36.29263,127.39815,2025-10-31,23390,25,대전광역시,대전BIS
DJB8007042,중구청역,36.324146,127.41843,2025-10-31,23370,25,대전광역시,대전BIS
DJB8007043,가는골입구,36.330944,127.486,2025-10-31,14370,25,대전광역시,대전BIS
DJB8007044,가는골입구,36.331093,127.48584,2025-10-31,14380,25,대전광역시,대전BIS
DJB8007045,선암초교네거리,36.29616,127.33576,2025-10-31,34970,25,대전광역시,대전BIS
DJB8007046,선암초교네거리,36.29634,127.336624,2025-10-31,34980,25,대전광역시,대전BIS
DJB8007047,테크노밸리6단지,36.41857,127.38797,2025-10-31,47100,25,대전광역시,대전BIS
DJB8007051,세종터미널,36.470848,127.273125,2025-10-31,51012,25,대전광역시,대전BIS
DJB8007052,한솔동,36.48031,127.262566,2025-10-31,51048,25,대전광역시,대전BIS
DJB8007053,정부세종청사북측,36.504173,127.261246,2025-10-31,52033,25,대전광역시,대전BIS
DJB8007055,오송역2.3.4,36.619198,127.3271,2025-10-31,1434,25,대전광역시,대전BIS
DJB8007057,한솔동,36.48097,127.26185,2025-10-31,51049,25,대전광역시,대전BIS
DJB8007058,세종터미널,36.47071,127.27319,2025-10-31,51011,25,대전광역시,대전BIS
DJB8007061,국제금식기도원,36.374973,127.513626,2025-10-31,14390,25,대전광역시,대전BIS
DJB8007062,대전대학교,36.33303,127.46375,2025-10-31,14250,25,대전광역시,대전BIS
DJB8007063,국제금식기도원,36.375027,127.51353,2025-10-31,14400,25,대전광역시,대전BIS
DJB8007064,별밭공원,36.340622,127.305,2025-10-31,45950,25,대전광역시,대전BIS
DJB8007065,별밭공원,36.33947,127.30446,2025-10-31,45960,25,대전광역시,대전BIS
DJB8007066,반석네거리,36.38697,127.317856,2025-10-31,45970,25,대전광역시,대전BIS
DJB8007069,KT&G사택,36.438187,127.432014,2025-10-31,53240,25,대전광역시,대전BIS
DJB8007070,가오동,36.308586,127.45133,2025-10-31,14360,25,대전광역시,대전BIS
DJB8007074,배재대학교종점,36.32325,127.36733,2025-10-31,35110,25,대전광역시,대전BIS
DJB8007076,새롬동.나성동,36.48685,127.25788,2025-10-31,51008,25,대전광역시,대전BIS
DJB8007077,다정동(성남고등학교),36.49389,127.25645,2025-10-31,51016,25,대전광역시,대전BIS
DJB8007080,정부세종청사북측,36.504997,127.261505,2025-10-31,52036,25,대전광역시,대전BIS
DJB8007082,다정동(성남고등학교),36.493813,127.25632,2025-10-31,51017,25,대전광역시,대전BIS
DJB8007083,새롬동.나성동,36.487713,127.25729,2025-10-31,51010,25,대전광역시,대전BIS
DJB8007086,첫마을1단지,36.48362,127.25872,2025-10-31,51034,25,대전광역시,대전BIS
DJB8007087,첫마을1단지,36.483433,127.25877,2025-10-31,51035,25,대전광역시,대전BIS
DJB8007088,첫마을4단지,36.48024,127.251724,2025-10-31,51040,25,대전광역시,대전BIS
DJB8007089,첫마을4단지,36.48024,127.25208,2025-10-31,51041,25,대전광역시,대전BIS
DJB8007090,첫마을6단지,36.47544,127.25309,2025-10-31,51044,25,대전광역시,대전BIS
DJB8007091,첫마을6단지,36.47506,127.25313,2025-10-31,51045,25,대전광역시,대전BIS
DJB8007092,첫마을3단지,36.47796,127.26143,2025-10-31,51039,25,대전광역시,대전BIS
DJB8007093,첫마을3단지,36.47827,127.261246,2025-10-31,51038,25,대전광역시,대전BIS
DJB8007098,쉼터공동체,36.31051,127.26933,2025-10-31,45990,25,대전광역시,대전BIS
DJB8007099,쉼터공동체,36.310482,127.26927,2025-10-31,46000,25,대전광역시,대전BIS
DJB8007100,유성생명과학고,36.348442,127.33176,2025-10-31,80470,25,대전광역시,대전BIS
DJB8007101,싸이언스빌3가,36.384968,127.40511,2025-10-31,46100,25,대전광역시,대전BIS
DJB8007102,싸이언스빌3가,36.384987,127.40534,2025-10-31,46110,25,대전광역시,대전BIS
DJB8007103,유성구청소년수련관,36.38097,127.3235,2025-10-31,46090,25,대전광역시,대전BIS
DJB8007104,왕대2리입구,36.25425,127.27424,2025-10-31,,25,대전광역시,대전BIS
DJB8007105,아워홈,36.250313,127.27193,2025-10-31,77030,25,대전광역시,대전BIS
DJB8007106,길산스틸,36.25157,127.27451,2025-10-31,77010,25,대전광역시,대전BIS
DJB8007107,재실,36.24924,127.26165,2025-10-31,73410,25,대전광역시,대전BIS
DJB8007108,입암리마을회관종점,36.24737,127.25939,2025-10-31,,25,대전광역시,대전BIS
DJB8007109,재실,36.249123,127.26149,2025-10-31,77060,25,대전광역시,대전BIS
DJB8007110,길산스틸,36.25173,127.274574,2025-10-31,77020,25,대전광역시,대전BIS
DJB8007111,아워홈,36.250423,127.27183,2025-10-31,77040,25,대전광역시,대전BIS
DJB8007112,왕대2리입구,36.25421,127.274254,2025-10-31,73540,25,대전광역시,대전BIS
DJB8007113,품안마을아파트,36.302296,127.24538,2025-10-31,,25,대전광역시,대전BIS
DJB8007114,신도안면사무소앞,36.300076,127.242676,2025-10-31,,25,대전광역시,대전BIS
DJB8007115,홈플러스계룡점,36.274693,127.258446,2025-10-31,73990,25,대전광역시,대전BIS
DJB8007116,홈플러스계룡점,36.274418,127.258446,2025-10-31,73290,25,대전광역시,대전BIS
DJB8007117,신도안면사무소앞,36.300373,127.242874,2025-10-31,,25,대전광역시,대전BIS
DJB8007118,품안마을아파트,36.302372,127.245316,2025-10-31,,25,대전광역시,대전BIS
DJB8007119,도곡2리,36.260887,127.21245,2025-10-31,77350,25,대전광역시,대전BIS
DJB8007120,도곡리배울교,36.264996,127.21901,2025-10-31,77340,25,대전광역시,대전BIS
DJB8007121,광석리·효성요양원,36.26339,127.22539,2025-10-31,,25,대전광역시,대전BIS
DJB8001398,대전병원,36.362507,127.41787,2025-10-31,50290,25,대전광역시,대전BIS
DJB8001399,대전병원,36.362602,127.4183,2025-10-31,50300,25,대전광역시,대전BIS
DJB8001400,대전보건대학교,36.348354,127.45088,2025-10-31,11610,25,대전광역시,대전BIS
DJB8001401,대전보건대학교,36.34831,127.45116,2025-10-31,11630,25,대전광역시,대전BIS
DJB8001402,대전보건대학교,36.348534,127.45397,2025-10-31,11680,25,대전광역시,대전BIS
DJB8001403,대전보건대학교,36.34843,127.45379,2025-10-31,11670,25,대전광역시,대전BIS
DJB8001404,국립농산물품질관리원,36.330765,127.41955,2025-10-31,20200,25,대전광역시,대전BIS
DJB8001405,국립농산물품질관리원,36.330883,127.419235,2025-10-31,20180,25,대전광역시,대전BIS
DJB8001406,대전신학대학교,36.351105,127.42419,2025-10-31,50360,25,대전광역시,대전BIS
DJB8001407,대전신학대학교,36.35104,127.42474,2025-10-31,53340,25,대전광역시,대전BIS
DJB8001408,대전여상,36.33234,127.42104,2025-10-31,20250,25,대전광역시,대전BIS
DJB8001409,대전여상,36.332947,127.420784,2025-10-31,20230,25,대전광역시,대전BIS
DJB8001410,대전국제통상고,36.313187,127.408516,2025-10-31,22120,25,대전광역시,대전BIS
DJB8001411,대전국제통상고,36.313187,127.40823,2025-10-31,22090,25,대전광역시,대전BIS
DJB8001412,대전역/역전시장,36.32953,127.43368,2025-10-31,10040,25,대전광역시,대전BIS
DJB8001413,대전역,36.33046,127.43108,2025-10-31,12460,25,대전광역시,대전BIS
DJB8001414,대전역,36.330814,127.43195,2025-10-31,12470,25,대전광역시,대전BIS
DJB8001415,대전역네거리,36.331043,127.431854,2025-10-31,14230,25,대전광역시,대전BIS
DJB8001417,대전역,36.33195,127.43239,2025-10-31,12410,25,대전광역시,대전BIS
DJB8001418,대전역,36.33254,127.43213,2025-10-31,12400,25,대전광역시,대전BIS
DJB8001419,대전역,36.332737,127.431725,2025-10-31,12390,25,대전광역시,대전BIS
DJB8001420,대전역,36.33344,127.431404,2025-10-31,12370,25,대전광역시,대전BIS
DJB8001421,대전역/중앙시장,36.329544,127.433304,2025-10-31,10010,25,대전광역시,대전BIS
DJB8001423,대전이문고,36.446476,127.42207,2025-10-31,52060,25,대전광역시,대전BIS
DJB8001424,대전이문고,36.446415,127.42238,2025-10-31,52070,25,대전광역시,대전BIS
DJB8001425,대전일보사,36.353622,127.36067,2025-10-31,32750,25,대전광역시,대전BIS
DJB8001426,대전일보사,36.354168,127.36174,2025-10-31,32760,25,대전광역시,대전BIS
DJB8001427,근로복지공단대전병원,36.36721,127.428825,2025-10-31,51160,25,대전광역시,대전BIS
DJB8001428,대전중학교,36.320004,127.42453,2025-10-31,20710,25,대전광역시,대전BIS
DJB8001429,대전중학교,36.319958,127.42422,2025-10-31,20690,25,대전광역시,대전BIS
DJB8001430,대전지방국세청,36.372147,127.42838,2025-10-31,51140,25,대전광역시,대전BIS
DJB8001431,대전지방기상청,36.36993,127.37101,2025-10-31,42890,25,대전광역시,대전BIS
DJB8001432,대전지방기상청,36.369877,127.37127,2025-10-31,42900,25,대전광역시,대전BIS
DJB8001433,철도차량정비단,36.42597,127.425735,2025-10-31,53050,25,대전광역시,대전BIS
DJB8001436,산성어린이도서관,36.295742,127.38675,2025-10-31,22590,25,대전광역시,대전BIS
DJB8001437,산성어린이도서관,36.295925,127.38716,2025-10-31,22600,25,대전광역시,대전BIS
DJB8001438,대정2통,36.315563,127.315384,2025-10-31,40290,25,대전광역시,대전BIS
DJB8001439,대정동,36.319748,127.31369,2025-10-31,40260,25,대전광역시,대전BIS
DJB8001440,대정동,36.319496,127.31408,2025-10-31,40270,25,대전광역시,대전BIS
DJB8001441,대종로네거리,36.334106,127.42106,2025-10-31,20260,25,대전광역시,대전BIS
DJB8001442,대종로네거리,36.334377,127.42098,2025-10-31,20240,25,대전광역시,대전BIS
DJB8001443,대주파크빌,36.342636,127.44803,2025-10-31,11590,25,대전광역시,대전BIS
DJB8001444,대주파크빌,36.34312,127.44945,2025-10-31,11600,25,대전광역시,대전BIS
DJB8001445,대주파크빌,36.342396,127.4488,2025-10-31,11330,25,대전광역시,대전BIS
DJB8001446,대청댐,36.470657,127.472755,2025-10-31,52780,25,대전광역시,대전BIS
DJB8001447,대청동주민센터,36.34334,127.49305,2025-10-31,13050,25,대전광역시,대전BIS
DJB8001448,대청호자연생태관,36.373745,127.47215,2025-10-31,12520,25,대전광역시,대전BIS
DJB8001449,대청호자연생태관,36.373554,127.47212,2025-10-31,12540,25,대전광역시,대전BIS
DJB8001450,대추벌,36.265396,127.33294,2025-10-31,33640,25,대전광역시,대전BIS
DJB8001451,대추벌,36.265457,127.33304,2025-10-31,33650,25,대전광역시,대전BIS
DJB8001452,둥지네거리,36.3595,127.38932,2025-10-31,32430,25,대전광역시,대전BIS
DJB8001453,대한통운,36.380363,127.4237,2025-10-31,50690,25,대전광역시,대전BIS
DJB8001454,대한통운,36.380547,127.42456,2025-10-31,50700,25,대전광역시,대전BIS
DJB8001455,대한통운종점,36.38353,127.42562,2025-10-31,50710,25,대전광역시,대전BIS
DJB8001457,대화동고개,36.3608,127.41745,2025-10-31,50270,25,대전광역시,대전BIS
DJB8001458,대화동육교,36.365498,127.419075,2025-10-31,50570,25,대전광역시,대전BIS
DJB8001459,대화동행정복지센터,36.367245,127.4111,2025-10-31,50480,25,대전광역시,대전BIS
DJB8001460,대화동행정복지센터,36.367264,127.411964,2025-10-31,50530,25,대전광역시,대전BIS
DJB8001461,대흥동네거리,36.323833,127.426285,2025-10-31,20750,25,대전광역시,대전BIS
DJB8001462,대흥동네거리,36.32383,127.42715,2025-10-31,20770,25,대전광역시,대전BIS
DJB8001463,대흥동성당,36.326145,127.427505,2025-10-31,20780,25,대전광역시,대전BIS
DJB8001464,대흥동성당,36.327034,127.42663,2025-10-31,20760,25,대전광역시,대전BIS
DJB8002600,중구보건소,36.308456,127.39575,2025-10-31,21860,25,대전광역시,대전BIS
DJB8002601,중구보건소,36.308167,127.39578,2025-10-31,21850,25,대전광역시,대전BIS
DJB8002602,중구청,36.32508,127.42239,2025-10-31,20630,25,대전광역시,대전BIS
DJB8002603,중구청,36.325672,127.42091,2025-10-31,20600,25,대전광역시,대전BIS
DJB8002605,중구청역,36.3243,127.418655,2025-10-31,20170,25,대전광역시,대전BIS
DJB8002607,중리네거리,36.358845,127.43032,2025-10-31,51430,25,대전광역시,대전BIS
DJB8002608,중리네거리,36.35928,127.43042,2025-10-31,51420,25,대전광역시,대전BIS
DJB8002609,중리동,36.36276,127.43094,2025-10-31,51440,25,대전광역시,대전BIS
DJB8002610,중리근린공원,36.363388,127.42526,2025-10-31,51350,25,대전광역시,대전BIS
DJB8002611,중리동,36.363384,127.43128,2025-10-31,51450,25,대전광역시,대전BIS
DJB8002612,중리근린공원,36.363758,127.425064,2025-10-31,51330,25,대전광역시,대전BIS
DJB8002613,중리동주민센터,36.36048,127.42519,2025-10-31,51340,25,대전광역시,대전BIS
DJB8002614,중리동주민센터,36.360676,127.42538,2025-10-31,51360,25,대전광역시,대전BIS
DJB8002615,중리시장,36.366596,127.42653,2025-10-31,51380,25,대전광역시,대전BIS
DJB8002616,중리시장,36.366634,127.425865,2025-10-31,51070,25,대전광역시,대전BIS
DJB8002617,중리지구대,36.358982,127.4211,2025-10-31,51260,25,대전광역시,대전BIS
