시군구,조각,유형,번호,이름,거리(m),반경안,집계기간,일수,일평균 승차,일평균 하차,일평균 승하차,평일 일평균 승하차,시간대 해상도,평일 최대시간대,평일 최대시간대 승하차,결합키,출처,비고
동구,진보길,도시철도역사,104,대전,757.6,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
동구,수양길,버스정류장,DJB8003127,우송중고등학교,69.5,Y,2026-07-01~07-31,31,30.3,65.4,95.7,112.4,일(시간대 없음),,,정류장번호 숫자부 8003127,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,수양길,도시철도역사,103,대동,640.3,N,2026-07-01~07-31,31,3804.5,3360.8,7165.4,7996.7,1시간,08-09시,1000.9,역번호 103→1103,공공데이터포털 15060591 (2026-07-31 갱신),
중구,대종로601번길,버스정류장,DJB8001990,세명요양병원,76.6,Y,2026-07-01~07-31,31,526.9,420.2,947.1,1039.8,일(시간대 없음),,,정류장번호 숫자부 8001990,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,대종로601번길,버스정류장,DJB8001991,선화동천주교회,97.5,Y,2026-07-01~07-31,31,550.6,359.8,910.4,1008.3,일(시간대 없음),,,정류장번호 숫자부 8001991,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,대종로601번길,도시철도역사,105,중앙로,1063.0,N,2026-07-01~07-31,31,7667.1,8313.2,15980.3,15762.8,1시간,18-19시,1745.1,역번호 105→1105,공공데이터포털 15060591 (2026-07-31 갱신),
동구,대전천북로116번길,버스정류장,DJB8001870,삼성2동,18.2,Y,2026-07-01~07-31,31,14.6,11.2,25.9,27.7,일(시간대 없음),,,정류장번호 숫자부 8001870,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,대전천북로116번길,버스정류장,DJB8007220,삼성2동,24.4,Y,2026-07-01~07-31,31,5.9,33.3,39.2,41.3,일(시간대 없음),,,정류장번호 숫자부 8007220,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
동구,대전천북로116번길,도시철도역사,105,중앙로,1506.4,N,2026-07-01~07-31,31,7667.1,8313.2,15980.3,15762.8,1시간,18-19시,1745.1,역번호 105→1105,공공데이터포털 15060591 (2026-07-31 갱신),
서구,갈마중로28번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,225.2,N,2026-07-01~07-31,31,323.4,363.8,687.2,775.2,일(시간대 없음),,,정류장번호 숫자부 8001055,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,갈마중로28번길,도시철도역사,110,탄방,1050.7,N,2026-07-01~07-31,31,4516.6,4872.0,9388.6,10637.3,1시간,08-09시,1597.3,역번호 110→1110,공공데이터포털 15060591 (2026-07-31 갱신),
서구,갈마중로30번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,250.4,N,2026-07-01~07-31,31,323.4,363.8,687.2,775.2,일(시간대 없음),,,정류장번호 숫자부 8001055,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,갈마중로30번길,도시철도역사,110,탄방,1090.1,N,2026-07-01~07-31,31,4516.6,4872.0,9388.6,10637.3,1시간,08-09시,1597.3,역번호 110→1110,공공데이터포털 15060591 (2026-07-31 갱신),
서구,갈마중로46번길,버스정류장,DJB8001055,갈마2동주민센터/충청투데이,138.4,N,2026-07-01~07-31,31,323.4,363.8,687.2,775.2,일(시간대 없음),,,정류장번호 숫자부 8001055,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,갈마중로46번길,도시철도역사,110,탄방,958.4,N,2026-07-01~07-31,31,4516.6,4872.0,9388.6,10637.3,1시간,08-09시,1597.3,역번호 110→1110,공공데이터포털 15060591 (2026-07-31 갱신),
서구,문정로170번길,버스정류장,DJB8001655,문정초등학교,147.2,N,2026-07-01~07-31,31,176.3,279.8,456.1,496.0,일(시간대 없음),,,정류장번호 숫자부 8001655,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,문정로170번길,도시철도역사,111,시청,903.2,N,2026-07-01~07-31,31,7524.8,7809.2,15334.0,17296.9,1시간,18-19시,2190.6,역번호 111→1111,공공데이터포털 15060591 (2026-07-31 갱신),
서구,문정로112번안길,버스정류장,DJB8002869,한가람아파트,98.8,Y,2026-07-01~07-31,31,223.8,371.9,595.8,644.6,일(시간대 없음),,,정류장번호 숫자부 8002869,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
