시군구,조각,도로명,road_bt,확정차량수,횡점유중앙(m),횡점유최대(m),W_pass(m),SAM판정(W_worst),내접폭차감(m),W_worst(m),최종채택(m),채택근거(둘중작은값),판정(최종채택),기존판정(내접폭),판정변화,비고,분리방식,일반차량_진입차단_필요,임계근거
중구,대종로601번길,대종로601번길,8,6,2.16,2.27,5.84,폭축_통과후보,5.48,5.73,5.48,차감폭,폭축_통과후보,폭축_통과후보,동일,,공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
동구,대전천북로116번길,대전천북로116번길,4,2,2.33,2.95,1.67,BLOCKED,4.18,1.05,1.05,W_worst,BLOCKED,폭축_통과후보,강등,,통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,갈마중로28번길,갈마중로28번길,6,0,,,6.0,차량없음_road_bt적용,4.0,6.0,4.0,차감폭,폭축_통과후보,폭축_통과후보,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,갈마중로30번길,갈마중로30번길,6,6,2.02,2.6,3.98,CONDITIONAL_C,3.79,3.4,3.4,W_worst,CONDITIONAL_C,폭축_통과후보,강등,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,갈마중로46번길,갈마중로46번길,6,3,2.13,2.56,3.87,CONDITIONAL_C,5.91,3.44,3.44,W_worst,CONDITIONAL_C,폭축_통과후보,강등,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,문정로170번길,문정로170번길,6,2,2.1,2.34,3.9,폭축_통과후보,7.73,3.66,3.66,W_worst,폭축_통과후보,폭축_통과후보,동일,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,문정로112번안길,문정로112번안길,6,3,1.62,2.1,4.38,폭축_통과후보,5.93,3.9,3.9,W_worst,폭축_통과후보,폭축_통과후보,동일,,공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,남선로9번길,남선로9번길,6,1,2.11,2.11,3.89,폭축_통과후보,5.78,3.89,3.89,W_worst,폭축_통과후보,폭축_통과후보,동일,,공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,계족산로5번안길 22,계족산로5번안길,8,4,2.19,5.74,5.81,BLOCKED,14.99,2.26,2.26,W_worst,BLOCKED,폭축_통과후보,강등,,시간,Y,E=2.2 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,계족로608번길 30,계족로608번길,8,0,,,8.0,차량없음_road_bt적용,7.99,8.0,7.99,차감폭,폭축_통과후보,폭축_통과후보,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,대전로1375번길 22-14,대전로1375번길,3,0,,,3.0,차량없음_road_bt적용,1.81,3.0,1.81,차감폭,BLOCKED,BLOCKED,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,대전로1397번길 50,대전로1397번길,5,2,2.14,2.2,2.86,CONDITIONAL_C,,2.8,2.8,W_worst(다른 값 없음),CONDITIONAL_C,,비교 불가,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,청자마을길 28,청자마을길,5,2,1.9,2.02,3.1,CONDITIONAL_C,3.49,2.98,2.98,W_worst,CONDITIONAL_C,CONDITIONAL_C,동일,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,태양마을길 28,태양마을길,5,0,,,5.0,차량없음_road_bt적용,,5.0,5.0,W_worst(다른 값 없음),폭축_통과후보,,비교 불가,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,동심9길,동심9길,3,1,1.54,1.54,1.46,BLOCKED,2.02,1.46,1.46,W_worst,BLOCKED,BLOCKED,동일,,통과불가,Y,E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,늘봄2길,늘봄2길,4,0,,,4.0,차량없음_road_bt적용,4.0,4.0,4.0,차감폭,폭축_통과후보,폭축_통과후보,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
대덕구,동춘당로31번길,동춘당로31번길,3,0,,,3.0,차량없음_road_bt적용,5.02,3.0,3.0,W_worst,CONDITIONAL_C,폭축_통과후보,강등,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,도솔로175번길,도솔로175번길,6,1,1.47,1.47,4.53,폭축_통과후보,5.18,4.53,4.53,W_worst,폭축_통과후보,폭축_통과후보,동일,,공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,변정1길,변정1길,6,3,1.79,1.96,4.21,폭축_통과후보,5.61,4.04,4.04,W_worst,폭축_통과후보,폭축_통과후보,동일,,공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,변정7길,변정7길,6,5,2.18,2.21,3.82,폭축_통과후보,2.99,3.79,2.99,차감폭,CONDITIONAL_C,CONDITIONAL_C,동일,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,당디로124번길,당디로124번길,8,6,1.93,2.15,6.07,폭축_통과후보,5.76,5.85,5.76,차감폭,폭축_통과후보,폭축_통과후보,동일,,공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,충무로68번길,충무로68번길,6,4,2.3,2.48,3.7,폭축_통과후보,4.56,3.52,3.52,W_worst,폭축_통과후보,폭축_통과후보,동일,,시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,보문산공원로530번길,보문산공원로530번길,5,0,,,5.0,차량없음_road_bt적용,3.97,5.0,3.97,차감폭,폭축_통과후보,폭축_통과후보,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,대둔산로414번길,대둔산로414번길,6,0,,,6.0,차량없음_road_bt적용,3.5,6.0,3.5,차감폭,CONDITIONAL_C,CONDITIONAL_C,동일,W_worst 는 road_bt 그대로(확정 차량 0 · 미탐 가능),시간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,보문산로122번길,보문산로122번길,6,6,2.19,2.26,3.81,폭축_통과후보,,3.74,3.74,W_worst(다른 값 없음),폭축_통과후보,,비교 불가,,공간,Y,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
중구,대둔산로386번길,대둔산로386번길,4,1,2.01,2.01,1.99,BLOCKED,2.15,1.99,1.99,W_worst,BLOCKED,BLOCKED,동일,,시간,Y,E=1.9 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
서구,계백로1158번길,계백로1158번길,8,3,1.77,1.98,6.23,폭축_통과후보,6.71,6.02,6.02,W_worst,폭축_통과후보,폭축_통과후보,동일,,공간,N,E=2.5 m · E=KFS 3.3 전폭 상한(차종 연동) · P=1.2 m 별표1 1.가.(1) 원칙값 · G=2.0 m 도로구조규칙 제5조 소형자동차
